gene,log2FoldChange,padj,pvalue
TP53,2.81,1.2e-08,3.4e-10
BRCA1,1.94,4.5e-05,2.1e-06
MYC,2.33,8.8e-07,1.5e-08
EGFR,-1.72,2.3e-04,9.8e-06
PTEN,-2.15,6.1e-06,3.3e-07
GAPDH,0.12,0.81,0.44
ACTB,-0.08,0.93,0.61
IL6,3.10,2.0e-09,7.1e-11
TNF,1.58,1.1e-03,4.6e-05
VEGFA,-1.41,8.4e-03,6.2e-04
CDKN1A,1.22,0.021,0.0031
BCL2,-0.66,0.18,0.041
STAT3,0.91,0.067,0.012
KRAS,1.05,0.044,0.0088
PIK3CA,-0.37,0.42,0.19
MTOR,0.54,0.29,0.11
JUN,1.77,3.6e-04,1.4e-05
FOS,2.02,9.9e-05,5.0e-06
MAPK1,-0.21,0.71,0.33
AKT1,-0.95,0.058,0.014
ESR1,0.43,0.36,0.15
ERBB2,1.86,7.2e-05,2.8e-06
CDK4,-1.13,0.031,0.0064
RB1,-1.64,5.5e-04,2.2e-05
ATM,0.29,0.55,0.24
MDM2,1.39,0.0094,0.0018
HIF1A,0.77,0.12,0.028
SOX2,2.48,1.7e-06,6.5e-08
NANOG,1.61,0.0022,0.00041
POU5F1,0.18,0.76,0.39
CDH1,-1.28,0.014,0.0027
VIM,1.09,0.038,0.0075
SNAI1,1.93,8.1e-05,3.6e-06
TWIST1,0.62,0.22,0.073
MMP9,2.21,4.4e-06,1.9e-07
COL1A1,-0.49,0.33,0.14
APOE,-0.14,0.84,0.47
ALB,0.06,0.97,0.72
INS,-2.07,9.3e-06,4.8e-07
GATA3,0.88,0.081,0.019
FOXP3,-1.52,0.0018,0.00029
IFNG,2.66,3.1e-07,8.9e-09
IL10,-0.73,0.15,0.037
TLR4,0.35,0.48,0.21
NFKB1,1.17,0.026,0.0049
RELA,-0.58,0.25,0.092
CASP3,0.97,0.052,0.011
BAX,1.44,0.0066,0.0012
BCL2L1,-1.08,0.035,0.0071
PCNA,0.22,0.69,0.31
